transaction_year,transaction_month,transaction_day,line,station_name,station_number,town,longitude,latitude,passage_cnt,passanger_cnt,date
2025,10,19,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,1577,1468,2025-10-19
2025,10,4,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,2108,1938,2025-10-04
2025,10,24,T5 EMINONU-ALIBEYKOY,Fener,,Fatih,,,3710,3154,2025-10-24
2025,3,15,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,1986,1837,2025-03-15
2025,3,8,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,7879,7438,2025-03-08
2025,9,5,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,3834,3558,2025-09-05
2025,2,4,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,3835,3675,2025-02-04
2025,6,9,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4814,3897,2025-06-09
2025,7,24,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,2377,2256,2025-07-24
2025,4,18,T5 EMINONU-ALIBEYKOY,Universite,,Fatih,,,3463,3323,2025-04-18
2025,6,6,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,8928,7182,2025-06-06
2025,9,5,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3286,2830,2025-09-05
2025,7,11,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,3861,3592,2025-07-11
2025,2,14,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3566,3176,2025-02-14
2025,11,1,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,4110,3723,2025-11-01
2025,3,4,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3123,2911,2025-03-04
2025,7,28,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,13609,11930,2025-07-28
2025,7,15,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,4423,3869,2025-07-15
2025,6,1,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3537,3179,2025-06-01
2025,8,19,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,2908,2684,2025-08-19
2025,6,21,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3329,2861,2025-06-21
2025,7,4,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,3866,3582,2025-07-04
2025,9,25,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,4334,4143,2025-09-25
2025,9,17,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,2092,1943,2025-09-17
2025,2,5,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,3560,3415,2025-02-05
2025,9,7,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,13707,11314,2025-09-07
2025,9,30,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,5154,4870,2025-09-30
2025,2,18,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3052,2859,2025-02-18
2025,2,10,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4143,3954,2025-02-10
2025,5,16,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4587,4326,2025-05-16
2025,4,29,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,1990,1837,2025-04-29
2025,6,23,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3265,2850,2025-06-23
2025,3,25,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,4057,3756,2025-03-25
2025,12,19,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,3525,3318,2025-12-19
2025,10,10,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3912,3371,2025-10-10
2025,12,23,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,2941,2830,2025-12-23
2025,5,23,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4810,4548,2025-05-23
2025,7,5,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,6733,6274,2025-07-05
